S:32 E:1 B:32 
hits:194 misses:116 evictions84
hits:195 misses:116 evictions84
hits:196 misses:116 evictions84
hits:197 misses:116 evictions84
hits:197 misses:117 evictions85
hits:198 misses:117 evictions85
hits:199 misses:117 evictions85
hits:200 misses:117 evictions85
hits:201 misses:117 evictions85
hits:201 misses:118 evictions86
hits:202 misses:118 evictions86
hits:203 misses:118 evictions86
hits:204 misses:118 evictions86
hits:204 misses:119 evictions87
hits:204 misses:120 evictions88
hits:205 misses:120 evictions88
hits:206 misses:120 evictions88
hits:207 misses:120 evictions88
hits:207 misses:121 evictions89
hits:208 misses:121 evictions89
hits:209 misses:121 evictions89
hits:210 misses:121 evictions89
hits:211 misses:121 evictions89
hits:211 misses:122 evictions90
hits:211 misses:123 evictions91
hits:212 misses:123 evictions91
hits:213 misses:123 evictions91
hits:214 misses:123 evictions91
hits:215 misses:123 evictions91
hits:216 misses:123 evictions91
hits:216 misses:124 evictions92
hits:217 misses:124 evictions92
hits:218 misses:124 evictions92
hits:219 misses:124 evictions92
hits:220 misses:124 evictions92
hits:221 misses:124 evictions92
hits:222 misses:124 evictions92
hits:223 misses:124 evictions92
hits:223 misses:125 evictions93
hits:223 misses:126 evictions94
hits:224 misses:126 evictions94
hits:225 misses:126 evictions94
hits:225 misses:127 evictions95
hits:226 misses:127 evictions95
hits:227 misses:127 evictions95
hits:228 misses:127 evictions95
hits:229 misses:127 evictions95
hits:229 misses:128 evictions96
hits:230 misses:128 evictions96
hits:231 misses:128 evictions96
hits:232 misses:128 evictions96
hits:232 misses:129 evictions97
hits:232 misses:130 evictions98
hits:233 misses:130 evictions98
hits:234 misses:130 evictions98
hits:235 misses:130 evictions98
hits:236 misses:130 evictions98
hits:237 misses:130 evictions98
hits:238 misses:130 evictions98
hits:239 misses:130 evictions98
hits:240 misses:130 evictions98
hits:241 misses:130 evictions98
hits:242 misses:130 evictions98
hits:243 misses:130 evictions98
hits:244 misses:130 evictions98
hits:245 misses:130 evictions98
hits:246 misses:130 evictions98
hits:247 misses:130 evictions98
hits:248 misses:130 evictions98
hits:249 misses:130 evictions98
hits:250 misses:130 evictions98
hits:251 misses:130 evictions98
hits:252 misses:130 evictions98
hits:253 misses:130 evictions98
hits:253 misses:131 evictions99
hits:254 misses:131 evictions99
hits:255 misses:131 evictions99
hits:255 misses:132 evictions100
hits:256 misses:132 evictions100
hits:257 misses:132 evictions100
hits:258 misses:132 evictions100
hits:259 misses:132 evictions100
hits:260 misses:132 evictions100
hits:261 misses:132 evictions100
hits:262 misses:132 evictions100
hits:263 misses:132 evictions100
hits:264 misses:132 evictions100
hits:265 misses:132 evictions100
hits:266 misses:132 evictions100
hits:267 misses:132 evictions100
hits:268 misses:132 evictions100
hits:269 misses:132 evictions100
hits:269 misses:133 evictions101
hits:270 misses:133 evictions101
hits:271 misses:133 evictions101
hits:271 misses:134 evictions102
hits:272 misses:134 evictions102
hits:273 misses:134 evictions102
hits:274 misses:134 evictions102
hits:275 misses:134 evictions102
hits:276 misses:134 evictions102
hits:277 misses:134 evictions102
hits:278 misses:134 evictions102
hits:279 misses:134 evictions102
hits:280 misses:134 evictions102
hits:281 misses:134 evictions102
hits:282 misses:134 evictions102
hits:283 misses:134 evictions102
hits:284 misses:134 evictions102
hits:285 misses:134 evictions102
hits:286 misses:134 evictions102
hits:287 misses:134 evictions102
hits:288 misses:134 evictions102
hits:289 misses:134 evictions102
hits:290 misses:134 evictions102
hits:291 misses:134 evictions102
hits:292 misses:134 evictions102
hits:293 misses:134 evictions102
hits:294 misses:134 evictions102
hits:295 misses:134 evictions102
hits:296 misses:134 evictions102
hits:297 misses:134 evictions102
hits:298 misses:134 evictions102
hits:299 misses:134 evictions102
hits:299 misses:135 evictions103
hits:300 misses:135 evictions103
hits:301 misses:135 evictions103
hits:301 misses:136 evictions104
hits:302 misses:136 evictions104
hits:303 misses:136 evictions104
hits:304 misses:136 evictions104
hits:305 misses:136 evictions104
hits:306 misses:136 evictions104
hits:307 misses:136 evictions104
hits:308 misses:136 evictions104
hits:309 misses:136 evictions104
hits:310 misses:136 evictions104
hits:311 misses:136 evictions104
hits:312 misses:136 evictions104
hits:313 misses:136 evictions104
hits:314 misses:136 evictions104
hits:315 misses:136 evictions104
hits:316 misses:136 evictions104
hits:317 misses:136 evictions104
hits:318 misses:136 evictions104
hits:319 misses:136 evictions104
hits:320 misses:136 evictions104
hits:321 misses:136 evictions104
hits:322 misses:136 evictions104
hits:323 misses:136 evictions104
hits:324 misses:136 evictions104
hits:325 misses:136 evictions104
hits:326 misses:136 evictions104
hits:327 misses:136 evictions104
hits:328 misses:136 evictions104
hits:329 misses:136 evictions104
hits:329 misses:137 evictions105
hits:330 misses:137 evictions105
hits:331 misses:137 evictions105
hits:331 misses:138 evictions106
hits:332 misses:138 evictions106
hits:333 misses:138 evictions106
hits:334 misses:138 evictions106
hits:335 misses:138 evictions106
hits:336 misses:138 evictions106
hits:337 misses:138 evictions106
hits:338 misses:138 evictions106
hits:339 misses:138 evictions106
hits:340 misses:138 evictions106
hits:341 misses:138 evictions106
hits:342 misses:138 evictions106
hits:343 misses:138 evictions106
hits:344 misses:138 evictions106
hits:345 misses:138 evictions106
hits:346 misses:138 evictions106
hits:347 misses:138 evictions106
hits:348 misses:138 evictions106
hits:349 misses:138 evictions106
hits:350 misses:138 evictions106
hits:351 misses:138 evictions106
hits:352 misses:138 evictions106
hits:353 misses:138 evictions106
hits:354 misses:138 evictions106
hits:355 misses:138 evictions106
hits:356 misses:138 evictions106
hits:357 misses:138 evictions106
hits:358 misses:138 evictions106
hits:359 misses:138 evictions106
hits:360 misses:138 evictions106
hits:361 misses:138 evictions106
hits:362 misses:138 evictions106
hits:363 misses:138 evictions106
hits:364 misses:138 evictions106
hits:365 misses:138 evictions106
hits:366 misses:138 evictions106
hits:367 misses:138 evictions106
hits:368 misses:138 evictions106
hits:369 misses:138 evictions106
hits:370 misses:138 evictions106
hits:371 misses:138 evictions106
hits:372 misses:138 evictions106
hits:373 misses:138 evictions106
hits:374 misses:138 evictions106
hits:375 misses:138 evictions106
hits:376 misses:138 evictions106
hits:377 misses:138 evictions106
hits:378 misses:138 evictions106
hits:379 misses:138 evictions106
hits:380 misses:138 evictions106
hits:381 misses:138 evictions106
hits:382 misses:138 evictions106
hits:383 misses:138 evictions106
hits:384 misses:138 evictions106
hits:384 misses:139 evictions107
hits:385 misses:139 evictions107
hits:386 misses:139 evictions107
hits:387 misses:139 evictions107
hits:388 misses:139 evictions107
hits:389 misses:139 evictions107
hits:390 misses:139 evictions107
hits:391 misses:139 evictions107
hits:392 misses:139 evictions107
hits:393 misses:139 evictions107
hits:394 misses:139 evictions107
hits:395 misses:139 evictions107
hits:395 misses:140 evictions108
hits:395 misses:141 evictions109
hits:396 misses:141 evictions109
hits:397 misses:141 evictions109
hits:398 misses:141 evictions109
hits:399 misses:141 evictions109
hits:400 misses:141 evictions109
hits:401 misses:141 evictions109
hits:402 misses:141 evictions109
hits:403 misses:141 evictions109
hits:404 misses:141 evictions109
hits:405 misses:141 evictions109
hits:405 misses:142 evictions110
hits:406 misses:142 evictions110
hits:407 misses:142 evictions110
hits:407 misses:143 evictions111
hits:408 misses:143 evictions111
